Key (do not translate),Italian (reference),English (source),YOUR LANGUAGE
db.custom,Termini aggiunti da te,Terms you added,
db.export,Esporta negli appunti,Export to clipboard,
db.importFile,Importa da file…,Import from file…,
db.importPaste,Importa dal riquadro,Import from the box,
db.io,Importa ed esporta,Import and export,
db.ioHelp,"L'esportazione produce il database completo, comprese le tue aggiunte. Copialo e conservalo in un file: da qui puoi reimportarlo.","Export gives you the whole database, your additions included. Copy it into a file and you can import it back here.",
db.ioPh,"Incolla qui un database JSON, oppure premi Esporta per vederci il tuo.","Paste a JSON database here, or press Export to see yours.",
db.notStored,"Questa pagina non può salvare nulla in locale: selezione, campi e aggiunte valgono finché la tieni aperta. Esporta il database per non perdere le tue voci.","This page cannot save anything locally: your selection, fields and additions last only while it stays open. Export the database to keep your terms.",
db.phEn,Termine inglese,English term,
db.phIt,Etichetta italiana,Italian label,
db.reset,Ripristino,Reset,
db.resetBtn,Torna al database originale,Back to the original database,
db.stored,Il tuo lavoro viene salvato in questo browser e ti ritrovi tutto alla prossima apertura.,Your work is saved in this browser and will be here next time you open the page.,
db.title,Preferenze,Preferences,
empty.body,Il database è diviso in otto gruppi. Apri un gruppo a sinistra e scegli una categoria per vederne i termini.,The database is split into eight groups. Open a group on the left and pick a category to see its terms.,
empty.noresult,Nessun risultato,Nothing found,
empty.noresultBody,Nessun termine corrisponde a «%s» in italiano. La ricerca guarda solo la lingua dell'interfaccia.,No term matches “%s” in English. Search only looks at the interface language.,
empty.title,Scegli una categoria,Pick a category,
err.fields,Servono sia l'etichetta italiana sia il termine inglese,Both the Italian label and the English term are required,
err.json,Non è un database valido: %s,Not a valid database: %s,
f1.label,Testo libero — soggetto e scena,Free text — subject and scene,
f1.ph,Descrivi il soggetto e tutto ciò che il database non copre. Scrivi nella lingua che preferisci: indicala qui accanto.,Describe the subject and anything the database doesn't cover. Write in whichever language you like — say which one next to this field.,
f2.label,Termini selezionati,Selected terms,
f2.ph,Si compila selezionando i termini a sinistra.,Fills in as you pick terms on the left.,
f3.label,Prompt finale,Final prompt,
f3.ph,Premi Genera prompt.,Press Generate prompt.,
f4.label,Prompt negativo,Negative prompt,
f4.ph,"Termini da evitare, separati da virgola.","Terms to avoid, comma separated.",
hd.selection,Selezione,Selection,
ij.addEl,+ Aggiungi elemento (senza posizione),+ Add element (no position),
ij.bg.ph,"Descrizione dello sfondo/ambiente della scena, in inglese.","Description of the scene's background/setting, in English.",
ij.card.armDraw,Disegna,Draw,
ij.card.armWaiting,In attesa…,Waiting…,
ij.card.del,Elimina elemento,Delete element,
ij.card.descLabel,descrizione,description,
ij.card.descPhObj,Descrizione dell'oggetto,Object description,
ij.card.descPhText,Guida posizionale/stilistica (non è il testo che compare),Positional/style guidance (not the text that appears),
ij.card.down,Sposta giù,Move down,
ij.card.noPosition,— nessuna posizione —,— no position —,
ij.card.up,Sposta su,Move up,
ij.color.add,Aggiungi colore,Add color,
ij.color.edit,Modifica colore,Edit color,
ij.color.remove,Rimuovi colore,Remove color,
ij.colors.upTo16,fino a 16 hex,up to 16 hex,
ij.desc.ph,"Descrizione generale della scena, in inglese: soggetto, azione, ambientazione, atmosfera complessiva. È il campo più libero dei quattro.","General description of the scene, in English: subject, action, setting, overall atmosphere. This is the most free-form of the four fields.",
ij.elements.title,Elementi,Elements,
ij.json.invalid,JSON non valido,Invalid JSON,
ij.jsonNote,bozza in italiano — la traduzione avviene alla copia,italian draft — translation happens on copy,
ij.jsonPreview,Anteprima JSON,JSON preview,
ij.medium.jsonNoteArt,"Il campo art_style sarà incluso nel JSON, photo omesso.","The art_style field will be included in the JSON, photo omitted.",
ij.medium.jsonNotePhoto,"Il campo photo sarà incluso nel JSON, art_style omesso.","The photo field will be included in the JSON, art_style omitted.",
ij.mode.artBtn,Arte,Art,
ij.mode.photoBtn,Foto,Photo,
ij.orientation,Orientamento,Orientation,
ij.ph.aesthetics,"es. ethereal, dreamlike","e.g. ethereal, dreamlike",
ij.ph.lighting,"es. golden hour light, dramatic lighting","e.g. golden hour light, dramatic lighting",
ij.ph.mediumArt,"es. olio su tela, acquerello","e.g. oil on canvas, watercolor",
ij.ph.mediumPhoto,"es. 3D render, texture procedurale","e.g. 3D render, procedural texture",
ij.ph.styleArt,"es. Symbolism, by Gustav Klimt","e.g. Symbolism, by Gustav Klimt",
ij.ph.stylePhoto,"es. 35mm lens, wide aperture f/1.4","e.g. 35mm lens, wide aperture f/1.4",
ij.stage.armNote,Disegna sulla griglia per posizionare E%n — trascina per tracciare il rettangolo.,Draw on the grid to place E%n — drag to trace the rectangle.,
ij.style.exclusive,mutuamente esclusivi,mutually exclusive,
ij.style.modeLabel,photo o art_style,photo or art_style,
ij.styleType,Tipo di stile,Style type,
ij.tab.comp,3 · Composizione,3 · Composition,
ij.tab.desc,Descrizione,Description,
ij.tab.style,2 · Stile,2 · Style,
ij.text.verbatimLabel,text (reso verbatim),text (rendered verbatim),
ij.text.verbatimPh,Testo esatto da rendere nell'immagine,Exact text to render in the image,
ij.type.obj,Oggetto,Object,
ij.type.text,Testo,Text,
lbl.lang,Lingua,Language,
lbl.model,Modello,Model,
len.tags,%n tag,%n tags,
len.target,consigliate %s,target %s,
len.words,%n parole,%n words,
neg.asParam,Su Midjourney questo campo diventa --no in coda al prompt.,On Midjourney this field becomes --no at the end of the prompt.,
neg.unsupported,%s non usa un prompt negativo.,%s doesn't use a negative prompt.,
note.beta,"Genera prompt compone secondo le regole del modello scelto: dialetto, ordine degli elementi, prefissi e parametri. Nessun modello viene interpellato — per quello serve il briefing qui sopra.","Generate prompt composes by the rules of the model you picked: dialect, element order, prefixes and parameters. No model is called — that's what the briefing above is for.",
note.betaManual,"Hai modificato il campo 2 a mano, quindi viene usato così com'è: il riordino per slot è sospeso. Premi Risincronizza per riattivarlo.","You edited field 2 by hand, so it is used verbatim and slot reordering is paused. Press Resync to turn it back on.",
note.dropped,%n termini scartati: %s non li supporta.,%n terms dropped: %s doesn't support them.,
note.len,lunghezza consigliata %s,suggested length %s,
p.ar,Formato,Aspect ratio,
p.chaos,Varietà fra le proposte,Variety between options,
p.raw,Meno interpretazione stilistica (--raw),Less stylistic interpretation (--raw),
p.sref,Riferimento di stile,Style reference,
p.srefPh,"URL di un'immagine, oppure un codice numerico","An image URL, or a numeric code",
p.stylize,Stilizzazione,Stylize,
p.sw,Forza del riferimento,Reference strength,
p.title,Parametri del modello,Model parameters,
ph.search,Cerca nel database…,Search the database…,
sel.count,%n selezionati,%n selected,
sel.empty,Nessun termine selezionato.,No terms selected yet.,
stat.avail,usabili ora,usable now,
stat.cats,categorie,categories,
stat.custom,tue aggiunte,your additions,
stat.terms,voci,entries,
tab.comp,Prompt,Prompt,
tab.nav,Categorie,Categories,
tab.terms,Termini,Terms,
terms.count,%n termini,%n terms,
toast.added,Termine aggiunto,Term added,
toast.copied,Copiato negli appunti,Copied to clipboard,
toast.copiedTranslated,JSON tradotto e copiato negli appunti,Translated JSON copied to clipboard,
toast.copyfail,Copia non riuscita: seleziona il testo a mano,Copy failed — select the text by hand,
toast.exported,Database copiato negli appunti,Database copied to clipboard,
toast.imported,Database importato,Database imported,
toast.keysaved,Chiave DeepL salvata,DeepL key saved,
toast.keysavefail,Salvataggio non riuscito: %s,Save failed: %s,
toast.reset,Database originale ripristinato,Original database restored,
toast.translated,Anteprima inglese aggiornata,English preview updated,
toast.translateempty,Non c'è testo da tradurre,There's no text to translate,
toast.translatefail,Traduzione non riuscita — il proxy locale DeepL non risponde,Translation failed — the local DeepL proxy isn't responding,
tr.settings.help,"La chiave resta solo su questo Mac, nel proxy locale: non viene mai salvata nel browser né condivisa altrove.","The key stays only on this Mac, inside the local proxy — it's never saved in the browser or shared anywhere else.",
tr.settings.phKey,Incolla qui la tua API key DeepL,Paste your DeepL API key here,
tr.settings.save,Salva chiave,Save key,
tr.settings.saving,Salvataggio…,Saving…,
tr.settings.statusMissing,Nessuna chiave configurata,No key configured,
tr.settings.statusOk,Chiave configurata (%s),Key configured (%s),
tr.settings.statusUnreachable,"Proxy locale non raggiungibile — apri Prompt Master 2 come app, oppure avvia deepl_proxy.py","Local proxy unreachable — open Prompt Master 2 as an app, or start deepl_proxy.py",
tr.settings.title,Traduzione (DeepL),Translation (DeepL),
tr.stale,bozza modificata da allora,draft changed since,
variant.plain,forma canonica,canonica forma,
variant.prose,variante in prosa,prose form,
variant.tag,variante booru (tag),booru tag form,
warn.translate,"Il soggetto è in italiano: verrà tradotto in automatico (con DeepL, via il proxy locale) quando premi Genera prompt. Usa ""Traduci"" qui sopra per vedere l'anteprima prima.","The subject is in Italian: it's translated automatically (with DeepL, via the local proxy) when you press Generate prompt. Use ""Translate"" above to preview it first.",
