Category ID,Category Name (EN),Term ID (blank = category name row),Italian (reference),English (source),YOUR LANGUAGE
medium_paint_draw,Painting & Drawing,mp_impasto,Impasto,Thick impasto brushwork,
medium_paint_draw,Painting & Drawing,mp_plein_air,En plein air,En plein air painting,
medium_paint_draw,Painting & Drawing,mp_graphite,Matita,Graphite pencil drawing,
medium_paint_draw,Painting & Drawing,mp_charcoal,Carboncino,Charcoal drawing,
medium_paint_draw,Painting & Drawing,mp_sanguine,Sanguigna,Sanguine chalk drawing,
medium_paint_draw,Painting & Drawing,mp_chalk,Gessetto,Chalk drawing,
medium_paint_draw,Painting & Drawing,mp_pastel,Pastelli morbidi,Soft pastel drawing,
medium_paint_draw,Painting & Drawing,mp_pen_ink,Penna e inchiostro,Pen and ink drawing,
medium_paint_draw,Painting & Drawing,mp_ink_wash,Inchiostro diluito,Ink wash,
medium_paint_draw,Painting & Drawing,mp_sumi_e,Sumi-e,Sumi-e ink painting,
medium_paint_draw,Painting & Drawing,mp_marker,Pennarelli,Marker rendering,
medium_paint_draw,Painting & Drawing,mp_airbrush,Aerografo,Airbrush painting,
medium_paint_draw,Painting & Drawing,mp_line_art,Line art,Line art,
medium_paint_draw,Painting & Drawing,mp_bold_outline,Contorni spessi,Bold outlines,
medium_paint_draw,Painting & Drawing,mp_thin_line,Tratto sottile,Fine line work,
medium_paint_draw,Painting & Drawing,mp_crosshatch,Tratteggio incrociato,Cross-hatching,
medium_paint_draw,Painting & Drawing,mp_digital_painting,Pittura digitale,Digital painting,
medium_paint_draw,Painting & Drawing,mp_matte_painting,Matte painting,Matte painting,
medium_paint_draw,Painting & Drawing,mp_concept_art,Concept art,Concept art,
medium_paint_draw,Painting & Drawing,mp_editorial_ill,Illustrazione editoriale,Editorial illustration,
medium_print_craft,Print & Craft,,Stampa e tecniche artigianali,Print & Craft,
medium_print_craft,Print & Craft,mpc_woodcut,Xilografia,Woodcut print,
medium_print_craft,Print & Craft,mpc_linocut,Linoleografia,Linocut print,
medium_print_craft,Print & Craft,mpc_engraving,Incisione a bulino,Engraving,
medium_print_craft,Print & Craft,mpc_etching,Acquaforte,Etching,
medium_print_craft,Print & Craft,mpc_lithograph,Litografia,Lithograph,
medium_print_craft,Print & Craft,mpc_screenprint,Serigrafia,Screen print,
medium_print_craft,Print & Craft,mpc_letterpress,Stampa tipografica,Letterpress print,
medium_print_craft,Print & Craft,mpc_risograph,Risograph,Risograph print,
medium_print_craft,Print & Craft,mpc_halftone,Retino tipografico,Halftone print,
medium_print_craft,Print & Craft,mpc_vintage_poster,Manifesto vintage,Vintage poster,
medium_print_craft,Print & Craft,mpc_collage,Collage,Paper collage,
medium_print_craft,Print & Craft,mpc_photomontage,Fotomontaggio,Photomontage,
medium_print_craft,Print & Craft,mpc_papercut,Carta ritagliata,"Papercut, kirigami",
medium_print_craft,Print & Craft,mpc_stained_glass,Vetrata,Stained glass,
medium_print_craft,Print & Craft,mpc_mosaic,Mosaico,Mosaic,
medium_print_craft,Print & Craft,mpc_batik,Batik,Batik,
medium_print_craft,Print & Craft,mpc_embroidery,Ricamo,Embroidery,
medium_print_craft,Print & Craft,mpc_needle_felt,Feltro ad ago,Needle-felted,
medium_print_craft,Print & Craft,mpc_claymation,"Plastilina, stop-motion","Claymation, stop-motion",
medium_print_craft,Print & Craft,mpc_diorama,"Diorama, modellino","Diorama, scale model",
medium_print_craft,Print & Craft,mpc_blueprint,"Disegno tecnico, blueprint",Technical blueprint drawing,
medium_print_craft,Print & Craft,mpc_sgraffito,Sgraffito,Sgraffito,
medium_digital_3d,Digital & 3D,,Digitale e 3D,Digital & 3D,
medium_digital_3d,Digital & 3D,md_3d_render,Render 3D,3D render,
medium_digital_3d,Digital & 3D,md_octane,Render Octane,Octane render,
medium_digital_3d,Digital & 3D,md_unreal,Render Unreal Engine,Unreal Engine render,
medium_digital_3d,Digital & 3D,md_blender,Render Blender,Blender render,
medium_digital_3d,Digital & 3D,md_arch_viz,Rendering architettonico,Architectural rendering,
medium_digital_3d,Digital & 3D,md_clay_render,Clay render,Clay render,
medium_digital_3d,Digital & 3D,md_cel_shaded,Cel shading,Cel-shaded rendering,
medium_digital_3d,Digital & 3D,md_low_poly,Low-poly,Low-poly 3D,
medium_digital_3d,Digital & 3D,md_voxel,Voxel art,Voxel art,
medium_digital_3d,Digital & 3D,md_pixel_art,Pixel art,Pixel art,
medium_digital_3d,Digital & 3D,md_vector,Illustrazione vettoriale,Flat vector illustration,
medium_digital_3d,Digital & 3D,md_wireframe,Wireframe,Wireframe render,
medium_digital_3d,Digital & 3D,md_photobash,Photobashing,Photobashed digital art,
medium_digital_3d,Digital & 3D,md_glitch,Glitch art,Glitch art,
medium_digital_3d,Digital & 3D,md_ascii,ASCII art,ASCII art,
medium_digital_3d,Digital & 3D,md_generative,Arte generativa,Generative art,
art_movement,Art Movements,,Movimenti artistici,Art Movements,
art_movement,Art Movements,am_byzantine,Bizantino,Byzantine,
art_movement,Art Movements,am_romanesque,Romanico,Romanesque,
art_movement,Art Movements,am_gothic,Gotico,Gothic,
art_movement,Art Movements,am_renaissance,Rinascimento,Renaissance,
art_movement,Art Movements,am_mannerism,Manierismo,Mannerism,
art_movement,Art Movements,am_baroque,Barocco,Baroque,
art_movement,Art Movements,am_rococo,Rococo,Rococo,
art_movement,Art Movements,am_neoclassical,Neoclassico,Neoclassical,
art_movement,Art Movements,am_romanticism,Romanticismo,Romanticism,
art_movement,Art Movements,am_realism,Realismo,Realism,
art_movement,Art Movements,am_pre_raphaelite,Preraffaellita,Pre-Raphaelite,
art_movement,Art Movements,am_impressionism,Impressionismo,Impressionism,
art_movement,Art Movements,am_post_impressionism,Postimpressionismo,Post-Impressionism,
art_movement,Art Movements,am_symbolism,Simbolismo,Symbolism,
art_movement,Art Movements,am_art_nouveau,Art Nouveau,Art Nouveau,
art_movement,Art Movements,am_fauvism,Fauvismo,Fauvism,
art_movement,Art Movements,am_expressionism,Espressionismo,Expressionism,
art_movement,Art Movements,am_cubism,Cubismo,Cubism,
art_movement,Art Movements,am_futurism,Futurismo,Futurism,
art_movement,Art Movements,am_dadaism,Dadaismo,Dadaism,
art_movement,Art Movements,am_suprematism,Suprematismo,Suprematism,
art_movement,Art Movements,am_surrealism,Surrealismo,Surrealism,
art_movement,Art Movements,am_magic_realism,Realismo magico,Magic realism,
art_movement,Art Movements,am_abstract_expressionism,Espressionismo astratto,Abstract expressionism,
art_movement,Art Movements,am_pop_art,Pop Art,Pop Art,
art_movement,Art Movements,am_op_art,Op Art,Op Art,
art_movement,Art Movements,am_hyperrealism,Iperrealismo,Hyperrealism,
art_movement,Art Movements,am_naive,Arte naif,Naive art,
design_movement,Design Movements,,Movimenti del design,Design Movements,
design_movement,Design Movements,dm_arts_crafts,Arts and Crafts,Arts and Crafts,
design_movement,Design Movements,dm_vienna_secession,Secessione viennese,Vienna Secession,
design_movement,Design Movements,dm_bauhaus,Bauhaus,Bauhaus,
design_movement,Design Movements,dm_de_stijl,De Stijl,De Stijl,
design_movement,Design Movements,dm_constructivism,Costruttivismo,Constructivism,
design_movement,Design Movements,dm_art_deco,Art Deco,Art Deco,
design_movement,Design Movements,dm_streamline,Streamline Moderne,Streamline Moderne,
design_movement,Design Movements,dm_swiss,Stile svizzero,Swiss International typographic style,
design_movement,Design Movements,dm_mid_century,Mid-century modern,Mid-century modern,
design_movement,Design Movements,dm_brutalism,Brutalismo,Brutalism,
design_movement,Design Movements,dm_memphis,Memphis,Memphis design,
design_movement,Design Movements,dm_postmodern,Postmoderno,Postmodern design,
design_movement,Design Movements,dm_minimalism,Minimalismo,Minimalism,
design_movement,Design Movements,dm_flat_design,Flat design,Flat design,
design_movement,Design Movements,dm_skeuomorphic,Skeuomorfismo,Skeuomorphic design,
design_movement,Design Movements,dm_y2k_design,Design Y2K,Y2K design,
genre_aesthetic,Genres & Aesthetics,,Generi ed estetiche,Genres & Aesthetics,
genre_aesthetic,Genres & Aesthetics,ga_fantasy,Fantasy,Fantasy art,
genre_aesthetic,Genres & Aesthetics,ga_dark_fantasy,Dark fantasy,Dark fantasy,
genre_aesthetic,Genres & Aesthetics,ga_grimdark,Grimdark,Grimdark,
genre_aesthetic,Genres & Aesthetics,ga_sci_fi,Fantascienza,Science fiction,
genre_aesthetic,Genres & Aesthetics,ga_space_opera,Space opera,Space opera,
genre_aesthetic,Genres & Aesthetics,ga_cyberpunk,Cyberpunk,Cyberpunk,
genre_aesthetic,Genres & Aesthetics,ga_steampunk,Steampunk,Steampunk,
genre_aesthetic,Genres & Aesthetics,ga_dieselpunk,Dieselpunk,Dieselpunk,
genre_aesthetic,Genres & Aesthetics,ga_atompunk,Atompunk,Atompunk,
genre_aesthetic,Genres & Aesthetics,ga_solarpunk,Solarpunk,Solarpunk,
genre_aesthetic,Genres & Aesthetics,ga_biopunk,Biopunk,Biopunk,
genre_aesthetic,Genres & Aesthetics,ga_retrofuturism,Retrofuturismo,Retrofuturism,
genre_aesthetic,Genres & Aesthetics,ga_afrofuturism,Afrofuturismo,Afrofuturism,
genre_aesthetic,Genres & Aesthetics,ga_post_apocalyptic,Post-apocalittico,Post-apocalyptic,
genre_aesthetic,Genres & Aesthetics,ga_gothic_horror,Horror gotico,Gothic horror,
genre_aesthetic,Genres & Aesthetics,ga_folk_horror,Folk horror,Folk horror,
genre_aesthetic,Genres & Aesthetics,ga_cosmic_horror,Horror cosmico,Lovecraftian cosmic horror,
genre_aesthetic,Genres & Aesthetics,ga_noir,Noir,Film noir aesthetic,
genre_aesthetic,Genres & Aesthetics,ga_western,Western,Western,
genre_aesthetic,Genres & Aesthetics,ga_vaporwave,Vaporwave,Vaporwave,
genre_aesthetic,Genres & Aesthetics,ga_synthwave,Synthwave,Synthwave,
genre_aesthetic,Genres & Aesthetics,ga_y2k,Estetica Y2K,Y2K aesthetic,
genre_aesthetic,Genres & Aesthetics,ga_liminal,Spazi liminali,Liminal space,
genre_aesthetic,Genres & Aesthetics,ga_weirdcore,Weirdcore,Weirdcore,
genre_aesthetic,Genres & Aesthetics,ga_cottagecore,Cottagecore,Cottagecore,
genre_aesthetic,Genres & Aesthetics,ga_dark_academia,Dark academia,Dark academia,
genre_aesthetic,Genres & Aesthetics,ga_psychedelic,Psichedelia,Psychedelic art,
genre_aesthetic,Genres & Aesthetics,ga_wabi_sabi,Wabi-sabi,Wabi-sabi,
anime_cartoon_style,"Anime, Comics & Animation",,"Anime, fumetto e animazione","Anime, Comics & Animation",
anime_cartoon_style,"Anime, Comics & Animation",ac_anime,Anime,Anime style,
anime_cartoon_style,"Anime, Comics & Animation",ac_manga,Manga,Manga style,
anime_cartoon_style,"Anime, Comics & Animation",ac_shonen,Shonen,Shonen style,
anime_cartoon_style,"Anime, Comics & Animation",ac_shojo,Shojo,Shojo style,
anime_cartoon_style,"Anime, Comics & Animation",ac_seinen,Seinen,Seinen style,
anime_cartoon_style,"Anime, Comics & Animation",ac_chibi,Chibi,Chibi style,
anime_cartoon_style,"Anime, Comics & Animation",ac_kawaii,Kawaii,Kawaii style,
anime_cartoon_style,"Anime, Comics & Animation",ac_mecha,Mecha,Mecha anime style,
anime_cartoon_style,"Anime, Comics & Animation",ac_retro_anime,Anime anni 80-90,Retro 1980s anime style,
anime_cartoon_style,"Anime, Comics & Animation",ac_ghibli,Stile Studio Ghibli,Studio Ghibli style,
anime_cartoon_style,"Anime, Comics & Animation",ac_comic_book,Fumetto americano,American comic book art,
anime_cartoon_style,"Anime, Comics & Animation",ac_graphic_novel,Graphic novel,Graphic novel style,
anime_cartoon_style,"Anime, Comics & Animation",ac_ligne_claire,Linea chiara,Ligne claire,
anime_cartoon_style,"Anime, Comics & Animation",ac_newspaper_strip,Striscia a fumetti,Newspaper comic strip,
anime_cartoon_style,"Anime, Comics & Animation",ac_cartoon,Cartoon,Cartoon style,
anime_cartoon_style,"Anime, Comics & Animation",ac_rubber_hose,Rubber hose anni 30,1930s rubber hose animation,
anime_cartoon_style,"Anime, Comics & Animation",ac_pixar,Stile Pixar,Pixar-style 3D animation,
anime_cartoon_style,"Anime, Comics & Animation",ac_storybook,Illustrazione per l'infanzia,Children's storybook illustration,
cultural_tradition,Cultural Traditions,,Tradizioni figurative,Cultural Traditions,
